,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Agriculture,164.232466052576,0.8439188901930832,0.024013352143093,0.02197537376389041,0.03808937886071579,0.0667766310213515,0.0960937611038293,0.5186193435719044,248.1785825713704,4.7999387645335,160.2843377563707,13.48367570899416,1.609337680847613,15.28404329003888,23.90976638170865,20.59802192757996,3.511331269222576,0.02411600286635231,0,0.8497957646344605,0.07862504917833756,0.4594530921207036,0.07891576503940911,0.1637669344339018,0.1253150191675421,4.012397007090739,0.006069470652905528,0.0105702637562003,0.02738287948001505,0.03718784859716318,2.047071229670588,1.075185273442535,0.04579781565351066,0.04942547988557197,0.02803819513343404,0.017480428209438,0.3656698021687416,1.742623028498547,0.13580698517902,0.1649670879676631,0.03057757850977181,0.1929077621431571,0.02993228675904172,0.06677219802600687,0.3004052878481655,0.8490820241200987,0.1945193548424445,0.1537737782755408,0.4248599844279925,7.151542532513239,0.3687920223957196,6.413731187140478,3.272289793400791,0.3977030413951012,0.8223900826686116,0.06233235652063065,0.3330439597820508,0.9920339270299294,0.1730914131871055,2.144783032338436,3.369699451024395,0.1418051886974463,0.08709265012575815,0.7093759776463395,0.9583870619836731,0.06392441818860482,1.128548576219586,1.429055993608163,0.2572069548856329,0.8686544431997377,0.8879839180717699,0.1676451914512619,0.448664012934882,0.2481652114343456,0.2585930604508779,1.367564181406341,0.4012125606564015,0.1541945399116431,0.4840228411467126,0.01732197308959422,0.2899461651921347,0.3987752946035316,1.35315954102123,0.04554349369316441,0.1166873828618588,0.3769540342980582,2.850315237609077,1.17009554012262,2.445178264292332,1.946186228208803,0.03700041500312935,0.07075188414480946,0.3951262500093959,0.50524821964379,0.1508137089269313,0.06804570378648148,0.4035474552012678,0
Forestry planting,0.04672818461371794,0.02288819175607358,68.92065483269498,0.002000754427809148,0.006135980722277699,0.01388376228654119,0.07503089317235402,0.07475577694367118,0.03206339264679681,0.04012558907039622,0.03074719087732521,0.006529805000569959,0.0248027231143157,0.01751066330429594,0.01070145143956749,0.09075027879401096,0.02190376325692007,0.01338688695153365,0,0.0229758275242882,0.02029763305512862,0.007520132396787491,0.03392916423533888,0.0870439471467552,0.01978061066934062,0.06381449610830213,0.002272240536456211,0.004048722301584537,0.01154283112524167,0.01412694158219978,0.01249945816544052,0.04193285475102552,0.02843551843373926,0.01780044748988016,0.009461158130369041,0.006217159169681367,0.09242293631697729,0.3335185981849831,0.02829947730929089,0.0531621813730121,0.009559387858786869,0.04679042018497319,0.008984812183004185,0.01205753491293136,0.0461639302551605,0.1175709471622163,0.03201077885618403,0.04667890890761712,0.04599222115055467,2.340917222880415,0.07922211577233995,0.6088679142191611,0.3083978783469742,0.01561899304754896,0.1339877833367389,0.002931674500972286,0.03850131351061968,0.155308219801826,0.06701995253314749,0.04942764360691092,0.0779415253567687,0.02397308532257714,0.02558873310628734,0.06755257062182207,0.08193952807673409,0.005064456432099071,0.2104884487033466,0.2863050736020823,0.0427599500966887,0.2262370636986271,0.3221123673209673,0.01829569489605336,0.03323969572822919,0.02750657037992761,0.04061176928909456,0.199040702527581,0.00879778576139682,0.01189229835352827,0.01678042953432864,0.0009535057525582846,0.02020814243782344,0.08441647802647492,0.3332828318827311,0.008481194137493642,0.02263861474582602,0.02864956628188096,0.4351367072126537,0.2713708380207461,0.2257596991741928,0.07883963320192264,0.01135921533640067,0.01228850018401178,0.0169031229280811,0.06929238408178795,0.1171854473849978,0.004965852278427966,0.01710405180516982,0
Forestry harvesting,0.1226580307496445,0.01376859918015658,0.005509697699610232,0.004930381334899142,0.003133133728129094,0.02192699518154294,0.04117408457746457,0.06696004703128182,0.1550999970530123,0.1651831012623507,0.09420711190238815,0.03962312925815951,0.215462558217904,0.1271126612611967,0.02909112150059516,0.423320597351233,0.03433226822985864,0.07191727434698941,0,0.07251343126364428,0.1106739524058508,0.009292764841120498,75.46551518268888,16.71722839494445,1.024980602948138,0.04141934871242761,0.002681503970592049,0.03226729607244931,0.01564298393140953,0.01314044786976532,0.0491770477695349,0.2099904041698608,0.09144800937537378,0.06064975939020194,0.005053615569898838,0.005781070443967012,0.1170546477462995,0.7806035321766187,0.05038462004369364,0.07145352437715694,0.01890088061061218,0.1098886746487481,0.2202820001778224,0.05265601888476529,0.05341485600192554,15.31459968956548,0.02578073528808918,0.03622494740497783,0.04896717105221726,2.528209931738323,0.04004744358151473,0.33205327872261,0.4021609616742027,0.1133116862708225,0.1701044875906071,0.0160909633429314,0.04609510832525134,0.09029826535185002,0.029907521431881,0.02405058684249808,0.09618292139693696,0.371892965090456,0.005583630322589338,0.02130219735698813,0.05278076969632387,0.002756823359847962,0.1170724238239359,0.1082180438117977,0.05764134695695627,0.2522238771905098,0.1248447651950342,0.05581011617488741,0.1188440369111147,0.02260489940868016,0.05428911492159693,0.05783956129159507,0.00655003327188225,0.02088998843255979,0.05028114925096792,0.003674239805506073,0.06490523406852819,0.02930303948575769,0.01351774542201695,0.007948379789862382,0.04390906054261873,0.01873485661975021,0.9583778438566118,0.3660839951790198,0.4779518040337324,0.09386852967887781,0.006978521931934194,0.01708755133478323,0.07223700135932659,0.05213982466697727,0.02384251109292406,0.01876235307486986,0.1661951885098763,0
Fishing,0.01062469587706691,0.0002066213936162793,0.001557126284526631,0.001376465092254913,0.002456205086302901,0.00174442934103016,0.3453331664500685,0.007555899267744521,0.006267482939448499,107.1040200837964,0.004639785857908012,0.0005298789204781593,0.004121957754547796,0.002027969843885365,0.001811419203554775,0.01059543906692494,0.001716006798076838,0.001330823748894681,0,0.004165943189663275,0.004485075751729513,0.0004225467167684346,0.004385035500737411,0.008779432121075263,0.004259494875959742,0.0121699708034647,0.001651378566907831,0.0005067062686839952,0.001019333132735059,0.01668488410648007,0.002563612925724803,0.003978584901303511,0.141483259619213,0.1395771686038986,0.002107579373634747,0.003820476202175474,0.01293410726661376,0.1305209124435021,0.006340018567268468,0.01236504943948836,0.002080860440239516,0.005467209135949686,0.00118009301310533,0.01745055752318799,0.008137411774709908,0.006628337406907841,0.001165707059169305,0.001037657399451246,0.006036175747857005,1.079563973367295,0.002347938214507783,0.02001668502368523,0.01826542386324291,0.004679196571092815,0.007517607914934908,0.0078781357606026,0.004527845853016184,0.02676932507578966,0.001647698384437351,1.251815174297267,4.756951290166239,0.002950547235666949,0.0008090703870886728,0.005011568687542313,0.005848195971396785,0.0002631969386824617,0.005595090290659028,0.007916570548074722,0.001607861004493928,0.07971750138791955,0.001163332232431751,0.0007985844766475066,0.002583515546161807,0.001531283340327505,0.0006612621489016937,0.004889111615244107,0.0004816555044865078,0.001436196095389077,0.001111756395712767,0.0002843147181665381,0.003093959585659507,0.002092731430715392,0.005641166771382234,0.0003615833828946605,0.002633874750810789,0.001083400879351576,0.03101527357527857,0.01546716075163228,0.03439274590725803,0.00788405829318919,0.0005599601929849458,0.001369184601726957,0.002019976476853408,0.004193759113663842,0.001766068095943768,0.0009423114196213061,0.00340501119626477,0
Aquaculture,0.008710096505571512,0.0004795676822480706,0.002239852625314074,0.004267248469052158,35.71753061546028,0.0027874839668013,0.003947491676449878,0.01739659907582393,0.00370554877324745,54.81779397858181,0.002687078960606378,0.0004864320667628647,0.003010446839303231,0.001700821747160826,0.001129649482741725,0.01058570548630258,0.001423498055867924,0.0009236866644109067,0,0.002752364217115385,0.002758748467504431,0.0003371748829174233,0.002962391688869436,0.006150105935450866,0.004502587605709469,0.01058399940814228,0.0002048723651448566,0.0003560810763237148,0.0008697611045813251,0.001421513403638941,0.001607250050219694,0.003988959797115053,0.002013988140727562,0.002428695436499061,0.002234079973623329,0.00143581910097105,0.01189361368797698,0.08722850171729303,0.005097908155518201,0.007048869563335707,0.001538838501881217,0.003913143559504497,0.0009696783970522613,0.002318879647032908,0.00890902666614131,0.006784771147085578,0.001840862354121201,0.001689715290524454,0.007866759572991015,0.06086154251870336,0.004189220185558223,0.05220991366705257,0.04629376126553091,0.01523387198805797,0.0201523091993006,0.02923606124196037,0.009883774613149345,0.09532016859462057,0.003988608792528998,1.439640721184733,5.473868872538559,0.003283105020552416,0.001106027700015067,0.01020124974148133,0.01090662938355109,0.0003950482975110881,0.01062865774423163,0.01749621269007817,0.002447623173168133,0.09207091260291621,0.002572479936562512,0.002421550678847208,0.006169819603342168,0.003334339932431747,0.001723396518973626,0.009440904989966747,0.0005999571182315332,0.002934092464527853,0.002033752824068421,0.0003215948240973303,0.008991893304040327,0.005209818225645653,0.02007089771212088,0.0007400665169980105,0.002768160089402778,0.00249253464330109,0.03649637710784547,0.02348750268575587,0.03246439244598082,0.00898504532592305,0.0006118143439981945,0.001494559378964856,0.003872937215821597,0.00710718292378601,0.00170259391522411,0.001264419472903424,0.006805431915295817,0
Coal & lignite,0.1073231658023169,0.01181134581934273,0.01009890450767405,0.01355039491428277,0.007855046180341088,8.9819696769737,0.1253773582634375,0.2398710590344794,0.01697213551022781,0.01988248349469321,0.01140317691585194,0.001269496986682653,0.01782219045129817,0.0147102989199925,0.006197349418527147,0.03464270810022872,0.006438268490328848,0.008138285686243972,0,0.01220320246341271,0.006391482435832229,0.001495218213182191,0.01968750031371404,0.0320283112191289,0.03542728739078541,1.273030283845218,0.001096660412304287,0.00299472626752267,0.008889231853496719,0.01036436201260301,0.007320930740369662,0.04578879774593603,0.7865173859588647,0.04987736046737353,4.772738462938186,0.003672941305333427,0.1124046613162171,0.3205735079177792,0.02697456059935232,0.02157369593614381,0.007400844699432014,0.03162559304321742,0.006088395818749888,0.02092726854610685,0.09078110211936574,85.36949042542246,0.01243876586403718,0.03299413379035562,0.09603206438900296,1.395535711270191,0.0616532650513944,0.3832332131084751,0.3719381778052009,0.3836768450258644,0.3963120008788338,0.04582803568210102,0.1591107825086577,0.2371956575725961,0.0727387125796753,0.0291437778123111,0.1446531350440232,0.02057156778046866,0.01149103677285649,0.1009971257133397,0.1172336410138228,0.008278437573698207,0.0721511108601999,0.07066289129769956,0.02401715958508883,0.07788144680153222,0.1118702287522916,0.03192999964547821,0.03479351721808045,0.02914951323671669,0.0221813174997663,0.1001158147202554,0.008211510824068265,0.02207515436887115,0.02009118728790331,0.00239802231278538,0.2031947721422821,0.06200893537829647,0.0279870732912474,0.01432092115965253,0.04527057953812921,0.02302998078938934,0.4294529574317443,0.5600297537567607,0.2286679643814395,0.04046889298463354,0.005299073817265841,0.01004860011578196,0.050343928741802,0.4040605870170488,0.01131020733882894,0.01320338074926931,0.04697215033152358,0
"Oil & gas extraction, metal ores & other",1.205025724227259,0.1167477696325772,0.07674727600387309,0.01859666596800207,0.03676201663567853,0.09564534778269722,69.10904136547136,0.2441684294121361,0.2214503960956951,0.3363176155169337,0.2396903098420826,0.04197338349987496,0.1541318375601055,0.1167529286851749,0.06661630745207733,3.186306784464144,0.563092310878974,0.2043726570452891,0,0.2639658392623723,0.1186790352243602,0.01858146993815385,0.4561994343999319,0.6904298304849752,0.134491423675783,1.137556418944845,0.3224053285624013,0.06294603039582061,0.1337896213765087,3.324554751331626,0.08878185461676381,0.6755846258729663,28.43210782978452,28.67092476680107,0.1763591353478758,0.3959302783989816,0.7106066942120798,2.325353216729732,0.3179191331436104,0.321320642236872,0.1773685796371234,0.2508285474535399,0.05062335025473445,3.169957144810509,0.2316138131459581,0.1315306486000005,0.02216341796838769,0.07469861082618605,0.8167261521076098,216.4778507592267,0.4113139035170838,4.24305320868906,1.232883690832531,0.3348682449272546,0.9782519271196439,0.02784906484256856,0.09586655960372202,1.002827584138574,0.2021260739913052,0.08893204399344669,0.3158669672656613,0.1172549760349529,0.03058079538968718,0.1323490765210644,0.3308876540617051,0.02517916096955268,0.3561440285895974,0.2052368052905941,0.1033631517553679,0.2662349631048648,0.3194429170077159,0.03408973316430349,0.08256090908963529,0.09528577593560575,0.06923329715438907,0.2578020543983673,0.03964034971992232,0.04195675821580232,0.06838678912346993,0.005208183182275056,0.1785740320985617,0.09978800878166635,0.08591499890585355,0.02609434589528877,0.2400715224210563,0.1038199581813714,1.48455279021527,1.132832517504544,1.104044049595542,0.1756274081229172,0.04158825203683827,0.05338746346500182,0.05537796160866388,0.1480003993238113,0.08919832681034036,0.02681594876968443,0.1304658285784943,0
Mining Support,1.263581499497395,0.5717868705248935,0.2195715676823307,0.07182591500418463,0.1034895690154111,0.4066874206705947,6.410402023166307,87.58294773033823,0.8742999025799788,1.245429167956377,0.9405949404627906,0.1952434128067674,0.6871254267424773,0.4740491685629126,0.2741902984689613,1.739980483797902,0.6049379218930772,0.4020299789264143,0,0.6472871552281463,0.5005682182413443,0.06804025362369102,1.008194495788932,2.681794129930364,0.5790167228840725,1.497937264190393,0.06820355535469215,0.1065823866746809,0.3485252850189378,0.398836979933096,0.2727066633954816,1.284681076219442,0.9090476875739714,0.4974218106460033,0.2630722175362232,0.1358800399614633,2.193768562214563,6.820810067393404,0.7092939129458469,1.163635800576483,0.2338654312222195,0.6524104427823271,0.2252006877710209,0.3433499237159256,0.891357662130411,0.8029806220201582,0.2729439939463723,0.2383621095019776,1.461235852963545,8.725106709963677,2.46574353555633,18.56733229872485,6.313794078334301,0.5045649472021435,4.76136854590526,0.09018187062716886,0.3062933389674715,5.038660302033452,0.993034135482978,0.5267773986965161,1.117355737344525,0.5171100401632015,0.1973110539698419,0.7367619845294235,2.455004916753438,0.1965016685679802,3.174120086434399,1.917295076591683,0.4178376961069916,1.198753191069947,1.421429732512182,0.2203599234255212,0.7129055933585839,0.6548580064671006,0.6523904471976865,5.424434544804083,0.3084982131551822,0.2183606295771346,0.6753656204459509,0.02086841700748814,0.6891026234304749,0.5943426822876272,1.107502423189639,0.1561141851050974,0.2861241320827237,1.008820471930056,4.640860831575795,3.61604202519278,5.690990635405948,0.9102202855562903,0.1376198344112937,0.1405096739084202,0.2964664250062702,0.6572929496610411,0.3402266881894087,0.1123200191117395,0.6016035732788292,0
Meat processing,1.143003637505066,0.005073459436156993,0.01425047758415568,0.1564915972057584,0.3716817823764523,0.02197097991262349,0.04362834712425007,0.09447037614927434,53.37798057464837,0.2699661847721336,0.5391781511206697,0.02584494443799592,3.69335782361764,6.623008630164866,0.3174510996531303,0.3956674717289349,0.0779246478266757,0.439893789559381,0,0.06557103076886324,0.07719631868562662,2.724775863822562,0.05349314885674996,0.1281132316064766,0.06803670702730873,0.751730641782048,0.00383115290882965,0.00687614139377398,0.02976023039877393,0.02496838899501083,0.03389551239199595,0.05328657379852074,0.0279078164333154,0.112765676645525,0.0216041532953007,0.02229935959495324,0.1553272025206237,2.26989088518108,0.08666150608202945,0.1451828338055612,0.02272879667165889,0.06228050003502086,0.01466385010910534,0.03265505134120514,0.09746860785642533,0.1499534695758065,0.05552745564294913,0.07356006767410846,0.04669714593299663,0.6069669074117557,0.04708798820010681,4.142143167534233,5.171148789912572,0.1073237935397574,0.1493363656798211,0.04660410531989694,0.06290617649747718,2.707506517070925,0.1658620390212925,2.688042676337135,47.09465301896313,0.09708253719618531,0.05175551628844574,0.15767882280152,0.4183643412274983,0.01638495325364644,0.2037981142383536,0.2050645290041874,0.04513505087309182,0.06927253497996712,0.01905640786980807,0.01807501399229836,0.05793016393894052,0.0862061759397022,0.009869287086965052,0.08725436085207958,0.01571772312628924,0.02683367056342728,0.05465669798390896,0.003875387677953117,0.05381614335951306,0.1986105559661823,0.07149258898860458,0.006203363705620786,0.0603580488905952,0.06707504394920136,4.067702490311069,2.991305555695522,4.241844162724193,4.976641413091691,0.05462985554774841,0.1461599555029383,0.759841531151082,1.377216588037922,0.3039952778804174,0.01531860374689666,0.06741136446057339,0
Fish & fruit processing,0.2038226232804713,0.002692847420076271,0.006298925512447788,0.004878305610583186,0.0535173409894056,0.01264598219358427,0.01549510732751239,0.0681661852603771,1.022127130450622,39.82734312349009,1.632994283505442,0.5325226234633155,3.711387575361889,3.247322108156275,1.722164020665307,0.7557212230374252,0.4882857272972957,2.475585757023588,0,0.03043269138932513,0.03578974814670418,0.01229840275199909,0.01955748315339139,0.05924662764174576,0.04096333030499349,0.2566586728542871,0.001560638663955676,0.003684913636400666,0.01518918448149685,0.009775270103983213,0.02933118030695066,0.02465488900700556,0.01658962330347838,0.01339253971351557,0.008397432074801859,0.008212301386381833,0.06961434406937647,1.334780897357232,0.04297671168682562,0.1131441118760312,0.008950733583239497,0.03823543022535519,0.005889561992817723,0.02275136310355867,0.05285857390956499,0.1377025985487779,0.02799341662849415,0.09558594963245745,0.03152427985794938,0.5367950014319345,0.0382800315056005,0.2019211470271038,2.406395514650139,0.1103801990196593,0.1448212902257403,0.1262626089040542,0.04092385691175934,0.8697243816396067,0.05585933425558805,2.451339159538458,23.98377302230753,0.0786854131068899,0.09125282594322678,0.1940703273630523,0.5074542965084109,0.0230278504493136,0.551333850739924,0.1528032284728709,0.05860550695873998,0.37819423173329,0.0495967918815782,0.01546750781890417,0.05739859320256343,0.06424507724252808,0.01641569629818047,0.1406749978507833,0.02535764082723642,0.01655706882616879,0.05584160717624769,0.002010213679262793,0.04325968567661705,0.04040166849505868,0.04108411154751,0.007510686664766783,0.1204861516288689,0.2340466527317605,1.859690678978904,2.33564203732108,1.989637013267149,3.329687635026872,0.103473270706365,0.07145933532943585,0.2158708384153951,0.8058049509369305,0.2703286801388236,0.02969880775995419,0.0706597504933801,0
