,Households,NPISHs,Central government,Local government,Total,Gross fixed capital formation,Valuables,Change in inventories,Total,Non-resident households,"Rest of
UK
exports",Rest of world exports,Total,Total final use, Total use for industry output
Agriculture,675.5684904508014,0.1908973651708283,0.03084363931345414,0.6836053664089035,676.4738368216946,77.05877865192124,0,7.847922354447636,84.90670100636888,42.16496799315882,583.3020015647439,124.3632194157992,749.8301889737019,1511.210726801765,2157.454021769169
Forestry planting,7.371261493101103,1.084042926854539,0,0.4137239700395571,8.869028389995199,6.423640707612708,0.000714947777444061,11.91229280800807,18.33664846339823,8.596824592815633,3.272744391000794,1.725987215581556,13.59555619939798,40.80123305279141,125.1399585920093
Forestry harvesting,11.87274839607588,0.2087651609640838,0.06735964090048659,0.4778302710912897,12.62670346903174,0.7517756030180773,0,21.74236510782077,22.49414071083885,0.2041981486578999,62.27823388727678,10.92918330276709,73.41161533870176,108.5324595185724,222.5617014324952
Fishing,15.53449376544173,0.05330701283056132,0,0.8682271958284115,16.4560279741007,0.203930769009948,0,21.07722491506232,21.28115568407227,3.418475193081376,40.3436429204905,99.59582959752147,143.3579477110933,181.0951313692663,310.2366984599082
Aquaculture,19.61343032302792,0.1046886751339226,0,1.70509563414154,21.42321463230338,0.1562883982861704,0,-8.51961822661451,-8.36332982832834,3.792750449173003,128.7141965316835,183.3316633166119,315.8386102974683,328.8984951014434,468.2830557628856
Coal & lignite,5.40172596030663,0,0,0,5.40172596030663,4.427251904097613,0,3.167642788802692,7.594894692900305,0.5606911017566407,221.6896283086468,2.448178565594187,224.6984979759976,237.6951186292045,285.412702670762
"Oil & gas extraction, metal ores & other",17.29362491990147,0.01424008372375741,0,0,17.30786500362523,2.535032125269141,0,23.88265624352074,26.41768836878988,1.577110875642079,69.39735902867473,85.85391481392209,156.8283847182389,200.553938090654,486.6774654046742
Mining Support,89.41411508971731,0.05029567640517288,0,0,89.46441076612248,34.72968895999341,0,24.47637636372446,59.20606532371787,11.15274510281089,2416.838209720801,345.8592704283581,2773.85022525197,2922.520701341811,3344.348912270396
Meat processing,374.4226990002388,0.01612391391749822,0,0,374.4388229141563,0.5221496769303604,0,0.8523894000739015,1.374539077004262,11.44311520393423,511.1752382001624,74.06857804539297,596.6869314494895,972.5002934406501,1193.589395284063
Fish & fruit processing,162.8265412326436,0.02529668953104771,0,0,162.8518379221746,1.683483880660478,0,-0.4913980469967214,1.192085833663757,4.009135249966745,512.1115455418442,238.4929481105727,754.6136289023837,918.657552658222,1035.343076860737
"Dairy products, oils & fats processing",309.3248706612031,0.001604945229788753,0,0,309.326475606433,1.148932628780972,0,0.8319369950126603,1.980869623793632,7.733784481160003,248.3674153678242,12.4469568530719,268.5481567020561,579.8555019322827,672.1268519069877
Grain milling & starch,9.216433598250081,0.0002949056777186243,0,0,9.216728503927799,0.1826243079767166,0,-0.006157829013620621,0.176466478963096,0.3104671727161856,45.0750395632524,15.08314361220649,60.46865034817508,69.86184533106598,85.2597058685898
Bakery & farinaceous,290.1019963692494,0.005101852656342578,0,0,290.1070982219057,1.191075228448437,0,4.055860025780201,5.246935254228638,8.217979183954734,444.8074702278247,70.66591232415884,523.6913617359382,819.0453952120727,908.4872999728052
Other food,109.8736949588444,5.207644345233165e-05,0.2113382574587826,0,110.0850852927466,2.049270154552367,0,0.04160303340851,2.090873187960877,2.77611380705937,186.3235428338836,52.8494454766935,241.9491021176365,354.125060598344,430.3042618555191
Animal feeds,44.25712184366882,0.0001459211613328475,0,0,44.25726776483015,0.5288134869177394,0,-8.269076732448513,-7.740263245530773,0.4210368706114113,37.28670937430084,24.12610795541837,61.83385420033063,98.35085871963001,193.885727066464
Spirits & wines,306.1244254879346,0.005680294955115944,0,0,306.1301057828898,20.50391709523837,0,32.30850637046117,52.81242346569955,27.75336975794303,574.5504460955674,2377.529760678024,2979.833576531534,3338.776105780124,3622.272840320491
Beer & malt,24.19430679422361,0.001983518565190286,0,0,24.1962903127888,1.179930823495668,0,1.787643070792115,2.967573894287784,2.09533528124621,42.94226444403696,102.5012792522947,147.5388789775779,174.7027431846545,193.7517283238373
Soft Drinks,90.57831124593564,0.001132808985998337,0,0,90.57944405492164,0.2922025485763375,0,0.04154912063925935,0.3337516692155969,6.160286624387811,157.4207898551714,4.619297376098461,168.2003738556577,259.113569579795,287.506954345344
Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textiles,197.7150642181632,0.00173283743937448,0,0,197.7167970556026,18.93559327324017,0.02403492887784254,-16.56096691695087,2.39866128516714,6.02744076670354,148.7199712611043,150.9477737842104,305.6951858120182,505.810644152788,614.7427709720562
Wearing apparel,128.888705045454,0.002740537285384515,0,0,128.8914455827394,1.004350415829723,0.0603242738899462,-54.69232556849961,-53.62765087877994,12.91635698712649,79.2117307034685,62.1057661480517,154.2338538386467,229.4976485426061,241.8074479468002
Leather goods,26.53489950213654,0,0,0,26.53489950213654,0.3192735939994066,0.0008679932453776611,-1.76315495624309,-1.443013368998306,4.472614831245557,11.087781261276,37.92033063732028,53.48072672984184,78.57261286298008,81.86462181070951
Wood and wood products,40.66732207174941,0.01390392627134882,0,0,40.68122599802076,6.292100355201892,0.05894504614696486,-6.847370292711975,-0.4963248913631181,4.439833734940944,420.1027396310727,81.78140357425276,506.3239769402664,546.508878046924,1050.060557404847
Paper & paper products,73.9160706178233,0.003695224882032452,0,0,73.91976584270533,3.557434418577759,0.00395329205037845,-5.835367258473485,-2.273979547845348,3.42396973499819,329.6384740596206,211.8200309041085,544.8824746987274,616.5282609935873,940.8957147670884
Printing and recording,38.58335876911874,0.003643454498752803,0,0,38.58700222361749,2.577779831115222,0.1565173773956514,-43.78234599717566,-41.04804878866479,0.9539604361187661,164.8814307430572,25.25587661143459,191.0912677906106,188.6302212255633,414.0297956723695
"Coke, petroleum & petrochemicals",771.6999243302571,0.01401330083935021,3.890639938022672,0,775.6045775691191,20.39650797161329,0.0007890217359698105,13.7092142927298,34.10651128607905,11.62985135267683,1691.688465386119,1623.312444270361,3326.630761009157,4136.341849864355,5538.327247508446
"Paints, varnishes and inks etc",2.134050990660592,0.0001738087088957447,0,0,2.134224799369488,0.4449108946527422,0,-4.677318041337399,-4.232407146684657,0.08005881679414087,10.27172122914313,11.63159626095241,21.98337630688968,19.88519395957452,41.70362723362305
Cleaning & toilet preparations,15.02696963791141,0.0002663267102577314,0,0,15.02723596462166,4.935149440764976,0.002187834014270629,-4.394037892924624,0.5432993818546222,0.6558056937153468,30.92679003674746,32.33239494237859,63.9149906728414,79.48552601931769,87.83211591322349
Other chemicals,24.24745708583589,0.001335190479573814,0.6997728055203515,0,24.94856508183582,1.802112721580871,0.00471708344970754,-7.953411912092407,-6.146582107061829,1.454808188510297,65.98635812850107,128.3086274503619,195.7497937673733,214.5517767421473,267.7434884715551
"Inorganic chemicals, dyestuffs & agrochemicals",9.562018499947952,0.0008725046952679911,0.08316338733876696,0,9.646054391981986,1.427661725497737,0,-47.43449875743735,-46.00683703193962,0.153122458962947,21.7236621113242,105.2404195507762,127.1172041210634,90.75642148110575,175.6983384541756
Pharmaceuticals,163.8139693897206,0.005184983924921217,247.7280452620168,0,411.5471996356623,15.96154409145432,0.01446476441549107,-0.3021892717205102,15.6738195841493,2.744642954597456,101.0431937955638,149.7518583370707,253.539695087232,680.7607143070436,887.2754459957969
Rubber & Plastic,98.7089455371374,0.01982936471685258,0,0,98.72877490185425,18.12091830125109,0.06244087622829629,-28.03117681543551,-9.847817637956117,15.61675186659796,326.6677810458332,338.157799491289,680.4423324037202,769.3232896676183,1210.294330723183
Cement lime & plaster,7.356234169815487,0.008587222571105458,0,0,7.364821392386593,1.264350114661937,0,-50.73924077050238,-49.47489065584045,0.5569793699696765,85.44212505982371,25.61101305906599,111.6101174888594,69.50004822540552,385.7605896541747
"Glass, clay & stone etc",47.26826716525397,0.007856732289273053,0,0,47.27612389754324,5.558955070227149,0.00127687360053266,-56.74546339483736,-51.18523145100968,2.051122186811492,75.66183839758739,65.2676927051606,142.9806532895595,139.071545736093,382.6769379381464
Iron & Steel,3.656589486546972,0.001848536445065157,0,0,3.658438022992037,1.028791234130989,0,-47.20855256768083,-46.17976133354984,0.4416713352681816,67.08072187875864,59.74961205466226,127.2720052686891,84.75068195813128,187.4530124681872
Other metals & casting,1.951966487502874,0.001194320265851147,0,0,1.953160807768725,0.9474764744920845,0.001378189620788996,-24.50806963338896,-23.55921496927609,0.2183134407875214,61.0234246862207,62.61979790274355,123.8615360297518,102.2554818682444,161.6180582318572
Fabricated metal,161.0440693831746,0.03264704259662574,0,0,161.0767164257712,194.9094471116782,-0.0865077781505782,-72.8029901878208,122.0199491457068,5.46622361039156,624.9689322826433,592.5922905305017,1223.027446423537,1506.124111995015,2859.1130412949
"Computers, electronics & opticals",209.4108336172798,0.01134430207081748,0,0,209.4221779193507,228.5843962997227,-0.8897800095299085,-31.29326804619038,196.4013482440024,7.80570301374051,647.0703948092654,1298.409373072037,1953.285470895043,2359.108997058396,3051.886176588009
Electrical equipment,65.68251428940793,0.01007544879758603,0,0,65.69258973820551,45.78108998693883,-3.536420630219028,-7.590351411498833,34.65431794522097,2.768246982670031,173.3591500174286,286.4824075555546,462.6098045556532,562.9567122390797,701.2339869837684
Machinery & equipment,88.09044861717095,0.03213100538400539,0,0,88.12257962255495,296.8066924629744,-0.1102006541299923,-107.275027130906,189.4214646779385,6.26943769914684,392.5475542081149,859.9190395236025,1258.736031430864,1536.280075731358,1952.392406085542
Motor Vehicles,56.16008478418813,0.002686370615445625,0,0,56.16277115480357,13.96712136051336,0.001324024927489781,-25.40278550377794,-11.43434011833709,0.5777041765401428,173.9966112285593,91.82464309486433,266.3989584999638,311.1273895364303,330.9719209435812
Other transport equipment,121.7303286404678,0.01692401856058215,0,0,121.7472526590283,232.6355564686126,0.001565340440127909,-38.72201451604811,193.9151072930046,2.036761716501082,1105.444249794865,722.6925943121358,1830.173605823502,2145.835965775535,2448.180441619413
Furniture,75.61230674041451,0.002461320987943662,0,0,75.61476806140246,29.09294001311173,0.1972440654209991,-3.22029792944982,26.06988614908291,1.225860536484856,54.68603504293978,15.92943390627571,71.84132948570034,173.5259836961857,190.5338733472677
