,Agriculture,Forestry planting,Forestry harvesting,Fishing,Aquaculture,Coal & lignite,"Oil & gas extraction, metal ores & other",Mining Support,Meat processing,Fish & fruit processing,"Dairy products, oils & fats processing",Grain milling & starch,Bakery & farinaceous,Other food,Animal feeds,Spirits & wines,Beer & malt,Soft Drinks,Tobacco,Textiles,Wearing apparel,Leather goods,Wood and wood products,Paper & paper products,Printing and recording,"Coke, petroleum & petro-chemicals","Paints, varnishes and inks etc.",Cleaning & toilet preparations,Other chemicals,"Inorganic chemicals, dyestuffs & agro-chemicals",Pharma-ceuticals,Rubber & Plastic,Cement lime & plaster,"Glass, clay & stone etc.",Iron & Steel,Other metals & casting,Fabricated metal,"Computers, electronics & opticals",Electrical equipment,Machinery & equipment,Motor Vehicles,Other transport equipment,Furniture,Other manu-facturing,Repair & maintenance,Electricity,Gas etc.,Water and sewerage,"Waste, remediation & management",Construction,Wholesale & Retail - vehicles,Wholesale - excl vehicles,Retail - excl vehicles,Rail transport,Other land transport,Water transport,Air transport,Support services for transport,Post & courier,Accomm-odation,Food & beverage services,Publishing services,Film video & TV etc.; broadcasting,Telecommunications,Computer services,Information services,Financial services,Insurance & pensions,Auxiliary financial services,Real estate - own,Imputed rent,Real estate - fee or contract,Legal activities,Accounting & tax services,Head office & consulting services,Architectural services etc.,Research & development,Advertising & market research,Other professional services,Veterinary services,Rental and leasing services,Employment services,Travel & related services,Security & investigation,Building & landscape services,Business support services,Public admin & defence,Education,Health,Residential care and social work,Creative services,Cultural services,Gambling,Sports & recreation,Membership organisations,Repairs - personal and household,Other personal services,Households as employers
Total domestic use,1359.440965079478,63.72657297529251,205.9698762903583,48.64671580169197,432.4589585955392,9.374887046622554,213.3228130352466,817.8106974632385,631.9860965619565,813.8262564568229,142.643950343293,38.05236735345738,267.1281712206624,186.3500465290449,170.9617598305293,883.9384710027036,119.1306884250634,98.82418444831336,0,159.6887414905472,43.14211664874544,60.5065902106904,811.8331905509626,278.0885893236442,77.70090596457814,114.6785288879892,9.330252952764955,47.27847113393283,441.9627098357818,43.68514892976587,116.8879005892117,234.3881715767654,156.2696750633402,87.18807650089822,63.64009312218231,27.65594753610829,637.4850848589457,691.2282203761421,89.95261624213109,593.8510324321231,126.1855207506572,1085.555722943292,58.62636176362869,137.5189469759127,325.5179581002148,3558.845898223422,1213.377541425299,317.240120329356,777.868052376852,7487.10450407648,509.0069143090128,2459.227931713228,1863.544631967712,442.9995568777262,696.0393743209681,127.233475497074,282.2916573757344,1051.920093219924,265.1147095811858,533.8111969466387,1105.029082069541,62.63077302438017,161.4947233823648,409.7604331235453,531.0212600121254,69.51275945487377,3193.792685625649,2239.726711067831,1449.069499081045,1653.919353577232,1315.562469494608,179.9266992255929,226.2630202253358,152.6996660303928,572.9035410008348,1638.544665036738,566.0237068685948,83.66232018538115,224.9121025580635,45.94386942197492,428.5877701024004,725.4483432493223,321.6765636372239,45.02878051295588,653.474254468701,480.2289300355042,4156.861789542276,1718.245092298722,2874.125276774017,1474.706142749374,65.78977583404406,141.9868302569794,211.1636449824435,455.4709444288333,226.4513339070621,86.2705995497056,385.2114866582104,0
Imports from rest of UK,685.175890071589,27.31149947674721,32.36097077077766,52.18841908673257,250.6919821311994,9.238352801424023,108.9569123405072,554.5821620408927,222.7848755551513,273.5498987144171,59.30330673454665,27.09405464064625,294.8094454356868,180.4561194090461,140.3936190222479,787.141857981043,118.0265024108308,88.56015822674064,0,96.24081283370995,23.7990845067084,27.95923572162383,189.850356797924,108.9159860005393,49.8308708535227,681.6605694591934,9.888264898074842,43.25545676363326,323.083988957527,34.25478051829107,75.18121815959276,224.1486024606195,83.30393380935932,37.86609146335131,36.3702117311235,21.63660815516885,310.5208766426343,340.7452088202849,44.17701546794908,294.4456968969574,130.1813797993186,432.3003063610719,18.02070048191926,82.4407032142972,156.7732619411618,1397.832404890818,887.3836454244773,129.148611757302,289.7757097744915,2883.735977484142,488.449154535641,1538.853754241881,957.0190292769457,276.7417846887538,535.4266189631886,87.36322260381021,313.4320882233175,584.9000212417598,94.95784404712882,292.3859998720027,753.3566732518232,56.35871002375981,251.8658070996554,330.3051357254071,513.9769601915295,56.7266339127623,1477.656658355208,791.2544956557437,520.1816186962005,486.7818212598837,410.999977600187,81.57893330170025,117.7779362694781,91.14406090646428,383.7116632035659,658.1658474650872,273.8127606352783,67.81837323004942,102.5479901535124,25.14724322576591,265.1671264765008,328.7552541807389,287.7296133655649,25.50039209153433,186.7084381945382,215.8006882927114,1867.14168896452,689.9731286024189,1376.235833356904,397.1325086525062,92.93477223573092,81.6707474907041,134.8996143833222,254.0665102706724,138.5775853102053,51.12971863403599,151.8227418168374,0
Imports from rest of world,332.8416001243617,10.11295013581394,13.54856867312368,23.32945667589692,52.70872133733435,4.177861427676715,44.79903791655236,356.8871368854271,155.5162464794585,160.956473923122,41.29400048978503,9.645866365237994,111.1225110937287,74.23790628313581,34.32935023395024,294.7565161998841,39.44668199846717,57.77594690608741,0,61.60185399145757,14.3729479384569,15.40705901437677,150.3369820402832,119.4935173156739,35.40943762299292,146.6974134656627,6.337831674216148,23.41126360411597,128.4780260240492,22.27915881978688,70.87227291628857,137.8664966242252,26.7474839060158,21.87941310633742,42.74625407461166,38.17298281898589,385.0424893543457,847.8294136132727,110.7254646782962,543.5098025841144,84.93559850911976,852.6513276952029,14.35058153190165,73.6136933239039,281.4062336694877,277.6646277156891,111.1324865704507,40.46059975723537,214.1970735878509,1173.378408038187,162.1795939633497,681.3574555983641,318.7759786447735,82.11580748647542,202.680045664705,26.94741918668661,232.4174239731951,214.8876342776409,34.01553780166508,95.7639995397223,300.9298648462513,17.23534915873804,80.22460649722828,158.4076623685749,157.1815787102952,29.1778009583016,579.3327313466951,157.1204906533322,133.8449659859629,90.04751874371364,86.678075513867,21.97762305348467,29.85319253711229,40.74898344147248,191.0568668523844,331.205369490295,121.4524224023278,22.05795501354988,64.38518692722927,23.05282068999576,105.3724141486568,73.5009967006479,150.2678405629244,16.427704412154,87.41396805709721,257.1292290323145,1338.794219792871,286.9944691764139,1407.875989698252,142.4933561121111,55.35809693646369,26.01473119990213,78.43858781105541,92.40518853273788,66.49848295404905,31.54605105408978,79.81760167788639,0
Total intermediate use at basic prices,2377.458455275428,101.1510225878537,251.8794157342597,124.1645915643215,735.8596620640728,22.79110127572329,367.0787632923061,1729.279996389558,1010.287218596566,1248.332629094362,243.2412575676247,74.79228835934163,673.0601277500779,441.0440722212268,345.6847290867275,1965.836845183631,276.6038728343614,245.1602895811414,0,317.5314083157147,81.31414909391074,103.872884946691,1152.02052938917,506.4980926398573,162.9412144410938,943.0365118128453,25.55634952505595,113.9451915016821,893.524724817358,100.2190882678438,262.941391665093,596.4032706616101,266.3210927787154,146.933581070587,142.7565589279175,87.46553851026303,1333.048450855926,1879.8028428097,244.8550963883764,1431.806531913195,341.3024990590956,2370.507356999567,90.9976437774496,293.5733435141137,763.6974537108644,5234.342930829929,2211.893673420227,486.8493318438934,1281.840835739195,11544.21888959881,1159.635662808003,4679.439141553473,3139.339639889432,801.8571490529555,1434.146038948862,241.5441172875708,828.1411695722471,1851.707748739325,394.0880914299797,921.9611963583637,2159.315620167616,136.224832206878,493.5851369792485,898.4732312175273,1202.17979891395,155.4171943259377,5250.782075327553,3188.101697376907,2103.096083763209,2230.748693580829,1813.240522608662,283.4832555807778,373.8941490319261,284.5927103783296,1147.672071056785,2627.91588199212,961.2888899062009,173.5386484289805,391.8452796388052,94.14393333773658,799.127310727558,1127.704594130709,759.6740175657133,86.95687701664421,927.5966607203364,953.1588473605301,7362.797698299667,2695.212690077555,5658.237099829173,2014.332007513991,214.0826450062387,249.6723089475857,424.5018471768212,801.9426432322435,431.5274021713165,168.9463692378314,616.8518301529342,0
Taxes less subsidies on products,57.09131603657109,3.675069870146442,6.52803782274046,22.60747695867853,12.48285870792801,2.574684568276679,30.89573238376347,9.28336214444144,0.9333604734342567,4.86219023163726,1.473504843375364,0.3764640246584186,8.71838990492174,3.260378025772664,2.884055837272841,171.3234892173696,8.932940111638493,8.17732244585862,0,13.39619985828577,0.6042499500892438,1.701180889308977,16.16606324683139,5.95073830278608,1.261323314195597,117.1622157541148,3.16060904894408,1.63859745631795,33.38243330270259,4.923509978392428,3.241623177907052,85.81178337939083,11.7253670242847,10.80583395041305,1.200288486668616,0.9522266227693815,14.69169587507292,27.96295700930111,5.50626649173847,11.01855042180479,2.442317791033336,30.99694487917273,1.376699883550258,10.31967924588647,11.7221887821356,265.3929523748782,35.79628945093594,72.6052928081063,262.337462004943,320.4630888741954,26.85480160199593,173.2370040125285,69.74737816456712,13.66820803204393,205.6079809380751,13.6177665094293,152.5654428987529,59.68457959767601,48.74551358802053,52.57535418663583,141.1431469793853,0.5303072371219644,1.867944416751668,7.063961401472948,10.76553018304973,1.42725437106233,538.0343036324457,337.405631619094,222.7832777549983,29.95302180134227,19.75947744633934,3.221082634222244,2.610039366074062,3.997082502670722,17.3821576932142,45.64358739458449,-136.5394755552004,2.106743237019583,5.174142308194909,1.194178653263503,22.35171895544111,18.90690564029153,46.98464116328646,4.159429273355945,15.99171266366417,7.379606656469656,867.5804526553313,256.198654051444,725.9589287448241,226.3170578800086,28.80271373576125,4.454069363414464,2.27354793417848,104.8940023967558,15.51064559836977,2.014794892168663,80.12698540906621,0
Taxes less subsidies on production,-481.4694872,0.253061804,0.356768483,0.462063787,0.561608446,-1.967578685,2.625702445,18.34187624,4.002962824,3.98581348,0.407982125,0.14343276,3.045962861,2.129327789,0.788919544,11.63527109,1.283480459,0.576847073,0,1.717519158,-0.67890979,-6.038609369,11.13099888,6.208520322,2.660480802,12.81158634,0.101193171,1.308350595,6.870929795,-0.09205990199999997,5,21.14758474,5.356330171,4.496085091,2.071643981,1.031767098,40.896588923,6,7,19,4.93642804,21.063571961,1.045622703,4.570229068,5.384148230999999,187.8172848,59.18271519,71.09749902,13.259072532,142,145.0505245,406.4534516,438.4960239,28.1267412,51.78983238,13.73305554,21.26820891,67.13304903,13.94911293,97.24888793,197.7511121,0.7333633,-42.022924898,31.18322398,59.39352014,-3.287182521,170.1264523,61.2850979,62.58844982,-218.3123374,0,8.31233742,21.63162771,14.06505056,37.21344775,101.7873037,18.93769007,5.198682692,9.823274874,-4.657077321,20.19351477,31.31868367,12.18356649,1.498259081,4.326376277,25.47959972,0,48,22.02080644,22.97919357,7.492139086,9.580248578,19.02627508,35.90133726,9.124489305,3.391233169,25.48427753,0
Compensation of employees,450.509363,77.64080107,88.64749351,69.1410784,112.0472408,7.314904313,71.64060326,1058.044492,213.3980278,289.6968207,88.657376246,13.15073169,302.6807923,144.4670231,54.04391258,711.8548668,108.1187252,67.93172365,0,270.5833358,75.40960761,36.00705658,320.9960948,216.43455,150.5693552,245.6220533,15.28686126,43.92237353,112.3804378,56.78827408999999,592,362.0586536,76.46127655,127.4800698,37.92454471,22.18104836,833.8944069099999,1006,192,681,125.776198,482.2238020410001,71.71434339,223.3097328,833.97592383,779.4062223,270.5937777,256.4608199,608.06397491,4693.0000006,1456.039932,2836.379313,4148.580755,376.2348826,1190.470913,175.6613093,307.4197544,1486.4441534,620.7689869,1205.769676,2490.230324,179.7039237,264.44669128,1114.262461,1847.995497,232.5914265,3328.500748,696.1100874,1641.389165,846.3219739,0,318.6780261,755.410277,576.8280483,934.09411,2739.004702,521.5681583,96.76722965,347.8475167,110.4799584,528.4567252,1464.995275,201.5391437,247.2593126,1067.541219,911.2083242,7307,6651.9999998,7814.5850253,4095.4149752,119.498701731,225.7184643,262.5687641,793.2140698999999,370.7364148,104.4548366,514.8087486,340
Gross operating surplus,1437.403458,70.38473684,55.96963166,110.6202449,284.2641027,2.997662183,75.95758982,257.044748,48.53720459,129.2973725,48.23645499,4.994243256,154.2351716,75.69413066,51.49257348,1741.556625,89.34918191,61.60704183,0,62.00206288,75.12570976,36.87222736,232.5692432,115.2499613,33.18079553,112.007893,4.471547809,32.13115519,269.9881341,60.40126988,523,117.6420533,29.67945218,38.67849456,2.389288782,8.228367454,361.3823438,336,60,274,153.5995249,-81.599524971,40.48336554,112.6258227,432.89081176,2642.277148,464.7228525,834.3570411,528.72366952,3854.0000004,546.6074889,1304.003475,2260.389036,-39.37730995,421.2535794,132.8338931,96.10493272,815.3055006,60.87940413,499.9273923,657.0726077,27.67667434,133.97968992,701.8924181,977.0583011,127.3929165,2992.149729,1671.138038,1406.712233,3665.304575,12807,53.69542514,416.9236906,240.6072591,360.7661135,1318.36668,143.1378741,168.0425482,211.3951616,121.7606734,659.5273258,124.3038222,338.2836056,34.4180671,235.1887996,476.2783797,2754,2476.9999999,2433.8715058,563.128494034,34.744833658,36.15482924,332.0058415,154.09449559,148.8547348,101.3641045,1244.781161,0
Gross value added,1406.4433338,148.278599714,144.973893653,180.223387087,396.872951946,8.344987811000001,150.223895525,1333.43111624,265.938195214,422.98000668,137.301813361,18.288407706,459.961926761,222.290481549,106.325405604,2465.04676289,198.751387569,130.115612553,0,334.302917838,149.85640758,66.840674571,564.69633688,337.893031622,186.410631532,370.44153264,19.85960224,77.361879315,389.239501695,117.097484068,1120,500.84829164,111.497058901,170.654649451,42.385477473,31.441182912,1236.173339633,1348,259,974,284.31215094,421.687849031,113.243331633,340.505784568,1272.250883821,3609.5006551,794.4993453899999,1161.91536002,1150.046716962,8689.000001,2147.6979454,4546.8362396,6847.4658149,364.98431385,1663.51432478,322.22825794,424.79289603,2368.88270303,695.5975039599999,1802.94595623,3345.0540438,208.11396134,356.403456302,1847.33810308,2884.44731824,356.697160479,6490.7769293,2428.5332233,3110.68984782,4293.3142115,12807,380.68578866,1193.96559531,831.50035796,1332.07367125,4159.1586857,683.6437224700001,270.008460542,569.065953174,227.583554479,1208.17756577,1620.61778087,552.00631579,283.175638781,1307.056394877,1412.96630362,10061,9176.999999700001,10270.47733754,4681.522662804,161.735674475,271.453542118,613.6008806799999,983.20990275,528.715638905,209.210174269,1785.07418713,340
Total output at basic prices,3840.993105111999,253.1046921720001,403.3813472100001,326.99545561,1145.215472718001,33.71077365499998,548.1983912010696,3071.994474774,1277.158774284,1676.174826005999,382.0165757720001,93.45716009000004,1141.740444415999,666.5949317959995,454.8941905280004,4602.207097291001,484.2882005149999,383.45322458,0,665.2305260120004,231.774806624,172.414740407,1732.882929516001,850.3418625646434,350.6131692872893,1430.64026020696,48.57656081400003,192.945668273,1316.146659815061,222.2400823142362,1386.183014843,1183.063345681001,389.5435187040001,328.394064472,186.3423248875861,119.8589480450324,2583.913486363999,3255.765799819001,509.3613628801148,2416.825082334999,628.0569677901289,2823.192150909739,205.6176752939999,644.3988073280002,2047.670526314,9109.236538304807,3042.189308261162,1721.369984672,2694.225014706137,20553.681979473,3334.188409809999,9399.512385166001,10056.552832954,1180.509670934999,3303.268344666937,577.3901417370001,1405.499508501,4280.275031367,1138.431108978,2777.482506774999,5645.512810947002,344.869100784,851.8565376980001,2752.875295699,4097.392647336999,513.541609176,12279.59330826,5954.040552296001,5436.569209338208,6554.015926882172,14640.000000055,667.3901268750001,1570.469783708,1120.090150841,2497.127899999999,6832.718155086705,1508.393136821001,445.653852208,966.0853751210001,322.9216664700001,2029.656595452999,2767.229280641001,1358.664974519,374.2919450710002,2250.644768261001,2373.504757637,18291.378150955,12128.411343829,16654.673366114,6922.171728198,404.6210332169999,525.5799204290001,1040.376275791,1890.046548378999,975.7536866746862,380.171338399,2482.053002692001,340
